epochs,learning_rate,Opti method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
1000,0.001,NDCG@5,0.4779,0.441,0.4218,0.4004,0.3912,0.3805,0.3687,0.3577,0.3527,0.3504,0.39423,0.0015816000999999997,0.411,0.4076,0.4059,0.4044,0.4064,0.4132,0.4128,0.4143,0.4208,0.4275,0.41239,4.702290000000005e-05
1000,0.001,NDCG@10,0.4631,0.4558,0.4248,0.4012,0.3912,0.3859,0.3755,0.3643,0.3566,0.3519,0.39703,0.0013971681,0.3982,0.4132,0.4106,0.4078,0.4118,0.4195,0.4194,0.4211,0.426,0.4312,0.4158799999999999,8.19436e-05
1000,0.001,P@5,0.472,0.4395,0.414,0.3997,0.3882,0.3781,0.3662,0.3588,0.351,0.3469,0.39143999999999995,0.0014886944,0.413,0.4007,0.3991,0.4059,0.406,0.4112,0.4117,0.4146,0.4183,0.4239,0.41044,5.3276399999999983e-05
1000,0.001,P@10,0.4572,0.4484,0.4297,0.4041,0.3876,0.3845,0.3755,0.3658,0.3569,0.3504,0.39601000000000003,0.0012835769000000003,0.3943,0.4086,0.4137,0.4106,0.4107,0.4195,0.4211,0.4243,0.4273,0.4319,0.4162,0.00010754400000000004
1000,0.001,ERR@10,0.4572,0.4395,0.4277,0.4019,0.3929,0.3874,0.3759,0.3673,0.3563,0.3501,0.39562,0.0011670115999999997,0.3884,0.395,0.4065,0.4042,0.4099,0.4161,0.4166,0.4198,0.4225,0.4271,0.41061,0.00013592089999999983
1000,1e-05,NDCG@5,0.4513,0.4336,0.409,0.3968,0.377,0.3732,0.3666,0.3603,0.3543,0.3481,0.38702000000000003,0.0010888075999999996,0.3982,0.3926,0.3943,0.4007,0.3993,0.4059,0.407,0.4122,0.4175,0.4233,0.4050999999999999,9.131600000000003e-05
1000,1e-05,NDCG@10,0.4425,0.4425,0.4208,0.4004,0.3864,0.3741,0.367,0.3603,0.3523,0.3457,0.3892,0.001162354,0.3854,0.4007,0.4032,0.4055,0.4066,0.4088,0.4093,0.413,0.4182,0.4229,0.40736,9.44583999999999e-05
1000,1e-05,P@5,0.4454,0.4425,0.4248,0.4041,0.3882,0.3781,0.3708,0.3591,0.35,0.3487,0.39117,0.0011995561000000005,0.3884,0.4024,0.4084,0.4083,0.4096,0.4127,0.4141,0.4165,0.4192,0.4272,0.41068,9.721360000000003e-05
1000,1e-05,P@10,0.4602,0.4454,0.4238,0.4093,0.39,0.3781,0.3725,0.3695,0.3602,0.3534,0.39624000000000004,0.0012218464,0.413,0.409,0.4068,0.4058,0.4053,0.4066,0.4095,0.4171,0.4205,0.4258,0.41194,4.4444400000000065e-05
1000,1e-05,ERR@10,0.4838,0.4381,0.4159,0.4027,0.3876,0.3712,0.3624,0.3532,0.3474,0.3431,0.39054,0.0018430803999999995,0.4228,0.4068,0.4067,0.4103,0.41,0.4095,0.4102,0.4127,0.4178,0.4229,0.41296999999999995,3.3168100000000046e-05
1500,0.001,NDCG@5,0.4543,0.4469,0.4297,0.4034,0.3894,0.3864,0.3738,0.3673,0.3609,0.3522,0.39642999999999995,0.0011781000999999997,0.3913,0.4024,0.4098,0.4053,0.4096,0.4175,0.417,0.4218,0.4266,0.4296,0.41309000000000007,0.00012384689999999997
1500,0.001,NDCG@10,0.4543,0.4395,0.4218,0.4049,0.3912,0.3864,0.3746,0.3669,0.3582,0.3493,0.39471,0.0011049048999999997,0.3874,0.3972,0.4025,0.4054,0.4093,0.4151,0.4158,0.42,0.4235,0.427,0.4103199999999999,0.00013823759999999984
1500,0.001,P@5,0.4602,0.4513,0.4277,0.4027,0.3912,0.3854,0.3746,0.3632,0.354,0.349,0.39593,0.0013871661,0.3933,0.4051,0.4096,0.4073,0.4116,0.4163,0.4182,0.4195,0.4228,0.4281,0.41318,9.004159999999999e-05
1500,0.001,P@10,0.4543,0.4513,0.4238,0.4049,0.3906,0.3889,0.3759,0.3676,0.3569,0.351,0.39652,0.0012150276,0.3933,0.4076,0.4082,0.4087,0.4114,0.4193,0.4197,0.4226,0.4253,0.4305,0.41466000000000003,0.00010680640000000004
1500,0.001,ERR@10,0.469,0.4454,0.4238,0.4041,0.3876,0.3751,0.3654,0.3599,0.355,0.349,0.39343000000000006,0.0015178701000000002,0.4061,0.4068,0.4107,0.4119,0.412,0.4159,0.4153,0.4206,0.4263,0.4312,0.41567999999999994,6.013160000000008e-05
1500,1e-05,NDCG@5,0.4838,0.444,0.4228,0.3938,0.3858,0.38,0.3713,0.361,0.3559,0.3522,0.39505999999999997,0.0016448664000000002,0.4248,0.4059,0.4094,0.4064,0.4096,0.415,0.4162,0.4182,0.4245,0.4308,0.41608,6.532360000000012e-05
1500,1e-05,NDCG@10,0.4572,0.4351,0.4149,0.3968,0.3923,0.3859,0.3751,0.3662,0.3589,0.3519,0.39343,0.0010327820999999995,0.3963,0.3965,0.3984,0.3992,0.4071,0.4133,0.4137,0.4184,0.4238,0.4276,0.40942999999999996,0.0001221641
1500,1e-05,P@5,0.4543,0.4351,0.4208,0.4093,0.3923,0.3864,0.3734,0.3628,0.3556,0.3516,0.39415999999999995,0.0011008143999999991,0.3953,0.4029,0.4069,0.4094,0.4078,0.4178,0.4174,0.4194,0.4235,0.4293,0.41296999999999995,9.518010000000012e-05
1500,1e-05,P@10,0.472,0.444,0.4208,0.4049,0.3888,0.3786,0.3683,0.3614,0.3527,0.3501,0.39415999999999995,0.0015041143999999997,0.4031,0.4073,0.408,0.4103,0.4112,0.415,0.4153,0.4198,0.4242,0.4309,0.41451000000000005,6.446090000000007e-05
1500,1e-05,ERR@10,0.469,0.4469,0.4228,0.4041,0.3894,0.382,0.3717,0.3632,0.3605,0.3549,0.39645,0.0013556985,0.4159,0.4157,0.4133,0.4156,0.4148,0.4201,0.4182,0.422,0.4291,0.435,0.41997,4.416409999999991e-05
2000,0.001,NDCG@5,0.469,0.4469,0.4179,0.3938,0.3847,0.3776,0.3637,0.3632,0.3563,0.3516,0.39247,0.0014412480999999994,0.412,0.4088,0.4071,0.4045,0.4086,0.4129,0.412,0.42,0.4241,0.4308,0.41407999999999995,6.234559999999992e-05
2000,0.001,NDCG@10,0.4779,0.4499,0.4179,0.399,0.3894,0.3786,0.3696,0.3621,0.3553,0.3519,0.39516,0.0015888164000000004,0.413,0.4125,0.4075,0.4085,0.4108,0.4147,0.4151,0.4202,0.4251,0.4303,0.41577000000000003,4.837010000000012e-05
2000,0.001,P@5,0.4661,0.441,0.4238,0.4034,0.3906,0.38,0.3696,0.3614,0.354,0.3466,0.39365,0.0014095025000000004,0.409,0.4019,0.4062,0.4077,0.4094,0.413,0.4125,0.4158,0.4211,0.4247,0.41213,4.295210000000005e-05
2000,0.001,P@10,0.4602,0.4484,0.4258,0.4056,0.3923,0.3854,0.3763,0.3665,0.3582,0.3504,0.39691000000000004,0.0012731908999999999,0.3933,0.4049,0.4083,0.409,0.4121,0.4172,0.4189,0.4222,0.426,0.4292,0.41411,0.00010488090000000021
2000,0.001,ERR@10,0.4572,0.4499,0.4258,0.3997,0.3847,0.3791,0.37,0.3643,0.3592,0.3531,0.3943,0.0012812319999999998,0.3963,0.4105,0.4114,0.4083,0.4096,0.4144,0.4164,0.4204,0.4266,0.4313,0.41452,8.863760000000005e-05
2000,1e-05,NDCG@5,0.4513,0.4513,0.4248,0.4034,0.3864,0.3835,0.3717,0.3603,0.3559,0.3534,0.3942,0.0012504139999999996,0.3943,0.4118,0.4115,0.411,0.4114,0.4178,0.4182,0.4194,0.4254,0.4316,0.41524,9.005240000000007e-05
2000,1e-05,NDCG@10,0.4631,0.4499,0.4208,0.4019,0.3811,0.3805,0.3717,0.3643,0.3589,0.3504,0.39426,0.0013540604000000006,0.4002,0.4105,0.4085,0.4097,0.406,0.4157,0.4149,0.419,0.4247,0.429,0.41382,6.832960000000002e-05
2000,1e-05,P@5,0.472,0.4469,0.4169,0.3953,0.3835,0.3805,0.37,0.3606,0.3543,0.3504,0.39303999999999994,0.0014860403999999998,0.4051,0.4115,0.4058,0.4048,0.4078,0.415,0.4148,0.4187,0.4233,0.4292,0.4136,6.154400000000011e-05
2000,1e-05,P@10,0.4661,0.4484,0.4258,0.3975,0.3817,0.3791,0.3696,0.3625,0.3566,0.3496,0.39369,0.001451132900000001,0.3933,0.4071,0.4095,0.4069,0.408,0.4152,0.4156,0.4195,0.4258,0.4291,0.413,9.74260000000001e-05
2000,1e-05,ERR@10,0.4661,0.444,0.4238,0.4078,0.3947,0.385,0.3725,0.3621,0.3533,0.3469,0.39561999999999997,0.0014186896000000005,0.409,0.4007,0.4046,0.4083,0.4108,0.4157,0.4151,0.4183,0.4217,0.4251,0.41292999999999996,5.26621e-05
